projectCode;taskId;description;startsAt;endsAt;toStatus_status
PJA00101;1;搬入;2020-01-25;2020-01-26;3
PJA00101;2;施工;2020-02-01;2020-02-10;3
PJA00101;3;搬出;2020-01-25;2020-01-25;3
PJA00102;1;搬入;2020-02-04;2020-02-04;3
PJA00102;2;施工;2020-02-01;2020-02-14;3
PJA00103;1;清掃;2020-11-01;2020-11-01;3
PJA00103;2;片付け;2020-11-01;2020-11-01;3
PJA00104;1;調査;2020-12-01;2020-12-15;3
PJA00104;2;機器選定;2020-12-16;2020-12-23;3
PJA00104;3;機器調達;2020-12-24;2020-12-31;3
PJA00104;4;機器設置;2021-01-04;2021-01-16;1
PJA00104;5;フォローアップ;2021-01-18;2021-01-31;1
PJA00105;1;調査;2021-04-02;2021-04-16;1
PJA00105;2;テスト;2021-04-19;2021-04-30;1
PJA00105;3;フォローアップ;2021-05-01;2021-05-02;1
